iter	Passed	Remaining
0	139	139489
1	141	70542
2	143	47810
3	145	36237
4	146	29247
5	148	24563
6	149	21218
7	150	18711
8	152	16761
9	153	15206
10	154	13930
11	156	12864
12	158	12008
13	159	11235
14	161	10583
15	162	10005
16	164	9488
17	165	9042
18	167	8626
19	168	8251
20	170	7935
21	171	7631
22	173	7368
23	174	7109
24	176	6868
25	177	6657
26	179	6458
27	180	6267
28	182	6099
29	183	5934
30	185	5798
31	186	5653
32	188	5514
33	189	5391
34	191	5270
35	192	5156
36	194	5054
37	195	4950
38	197	4865
39	198	4773
40	200	4685
41	201	4604
42	203	4522
43	204	4451
44	206	4377
45	207	4306
46	209	4246
47	210	4180
48	212	4118
49	213	4056
50	214	3998
51	216	3942
52	217	3887
53	219	3836
54	220	3785
55	221	3738
56	223	3691
57	224	3650
58	226	3606
59	227	3564
60	228	3524
61	230	3484
62	231	3445
63	233	3407
64	234	3371
65	235	3336
66	237	3305
67	238	3274
68	240	3243
69	241	3211
70	243	3180
71	244	3149
72	245	3121
73	247	3092
74	248	3065
75	249	3038
76	251	3011
77	253	2992
78	254	2968
79	255	2943
80	257	2923
81	259	2900
82	260	2881
83	262	2858
84	263	2837
85	265	2818
86	266	2798
87	267	2777
88	269	2757
89	270	2738
90	272	2717
91	273	2698
92	274	2680
93	276	2662
94	277	2644
95	278	2626
96	280	2609
97	282	2595
98	283	2581
99	285	2566
100	286	2552
101	288	2536
102	289	2522
103	291	2507
104	292	2492
105	293	2477
106	295	2465
107	296	2452
108	298	2439
109	299	2426
110	301	2414
111	302	2402
112	304	2388
113	305	2376
114	307	2364
115	308	2351
116	310	2340
117	311	2328
118	313	2319
119	314	2308
120	316	2297
121	317	2287
122	319	2276
123	320	2265
124	322	2256
125	323	2247
126	325	2236
127	326	2226
128	328	2218
129	330	2209
130	331	2199
131	332	2188
132	334	2179
133	335	2169
134	337	2159
135	338	2150
136	339	2141
137	341	2132
138	343	2125
139	345	2119
140	346	2111
141	347	2101
142	349	2094
143	351	2087
144	352	2078
145	354	2070
146	355	2062
147	356	2054
148	358	2047
149	360	2040
150	361	2033
151	363	2025
152	364	2018
153	365	2010
154	367	2002
155	369	1997
156	370	1991
157	372	1986
158	374	1979
159	375	1973
160	377	1966
161	378	1958
162	380	1952
163	381	1946
164	383	1938
165	384	1931
166	386	1925
167	388	1925
168	390	1919
169	392	1915
170	393	1909
171	396	1906
172	397	1901
173	399	1895
174	400	1889
175	402	1884
176	404	1880
177	405	1874
178	407	1868
179	408	1862
180	410	1856
181	412	1853
182	413	1848
183	415	1841
184	416	1835
185	418	1830
186	419	1824
187	421	1818
188	422	1813
189	424	1807
190	425	1801
191	426	1795
192	428	1792
193	430	1786
194	431	1781
195	432	1775
196	434	1771
197	436	1767
198	437	1762
199	439	1757
200	440	1751
201	442	1746
202	443	1741
203	445	1737
204	446	1732
205	448	1728
206	450	1724
207	451	1719
208	452	1714
209	454	1709
210	456	1706
211	457	1702
212	459	1697
213	460	1692
214	462	1688
215	464	1684
216	465	1680
217	467	1675
218	468	1670
219	470	1667
220	471	1662
221	472	1657
222	474	1653
223	476	1649
224	477	1645
225	479	1641
226	491	1674
227	493	1669
228	494	1665
229	496	1660
230	497	1656
231	498	1651
232	500	1648
233	502	1643
234	503	1638
235	505	1635
236	506	1631
237	508	1626
238	509	1622
